name,latitude,longitude
Zamin Sukhteh,32.45831,48.96335
Yekahi,32.5,48.9
Kabutaran,32.73333,48.4
Takht-e Qeysar,32.05908,48.86752
Takht Arreh Yek,32.80101,48.67179
Tileh,32.23333,48.4
Sheykh Sa`d,32.4937,48.03908
Shahid Madani,32.02243,48.51433
Sheykh Saleh Sa`id,32.032,48.4938
Sheykh Hoseyn,32.2,48.36667
Seyyed Mostafa Khomeyni,32.04711,48.42437
Sheykh `Ajam,32.01667,48.21667
Sharu,32.9276,48.2452
Shareh Kani,32.21667,48.25
Sharaf od Din,32.61667,48.48333
Emamzadeh Shahidan-e Zayd,32.4631,48.68521
Shirinab,32.1,49.23333
Seyyed Sobhan,32.2,48.2
Seyyed Nur,32.13928,48.49952
Seyyed Mohammad,32.2,48.36667
Sartal Aqa,32.13333,49.45
Sar Gach-e Abezhdan,32.0763,49.4875
Sar Cheshmeh,32.18333,49.15
Tappeh Shangar-e `Olya,32.15287,48.51745
Sandal,32.16483,48.03004
Sakhi,32.15,48.21667
Sag Mordeh,32.73333,48.4
Sabz Meydan,32.06667,48.85
Ruki,32.53333,49.08333
Razi,32.18333,48.25
Rashedi,32.01667,48.13333
Rasan Dakham,32.0683,48.0226
Raghiveh,32.17982,48.02364
Ramileh,32.04058,48.21442
Rahm Khoda,32.01667,49.21667
Boneh Rahimeh,32.01211,48.27884
Molla Cheragh`ali,32.07519,48.87366
Boneh-ye Mehdi,32.0537,48.836
Qasem Motsar,32.24073,48.14936
Qalich,32.36667,48.13333
Qal`eh-ye Sheykh,32.32575,48.36865
Par Khvajeh,32.15,49.23333
Papileh,32.36667,48.6
Pir Kafaran,32.28333,48.15
Nurabad,32.1,49.26667
Nofel lo Shatow,32.03333,48.8
Neypareh,32.15,48.25
Nardidu,32.78927,48.46401
Nim Mardi,32.84814,48.46144
Morad Hadi,32.18333,48.31667
Mudu,32.8,49.3
Mohammadabad,32.33333,49.1
Mohammad Safi,32.05,48.15
Mohammad Hoseyn,32.78995,48.46566
Mazigardash,32.0412,48.94636
Maz`al Bandeh,48,9
Mashhadi Mohammad,32.3,48.46667
Malsafar-e Gharbi,32.18333,48.7
Esteqlal,32.27603,48.13417
Makineh,32.11667,48.71667
Maksir,32.01667,48.58333
Meqdad,32.11345,48.24575
Majir,32.1412,48.2202
Maharem Yazdi,32.01599,48.05379
Lorestaniha,32.26667,48.85
Leyla,32.18333,49.23333
Lop Sefid-e Sofla,32.5621,48.8105
Lop Sefid,32.55942,48.81754
Gonjeh,32.37401,48.27242
Konab-e Vasat,32.73333,48.31667
Konab-e Pa'in,32.73333,48.31667
Kulak,32.73104,48.44953
Kul Changiz-e Bala,32.98333,48.96667
Khonog,32.2495,48.1756
Kheymehja,32.1,49.5
Kheybarabad,32.33333,49.05
Khezr,32.1,48.08333
Khanjan,32.2,49.43333
Khanabad-e Qotb,32.34934,48.25483
Khan`ali Ahmadi,32.01667,49.48333
Karkalleh Menari,32.4,49.28333
Kermalak-e `Olya,32.31376,48.39819
Kalak Darreh,32.78333,48.28333
Juhi,32.00605,48.27915
Jalila,32.4,49.26667
Jakestun,32.60589,48.52197
Jakestan,32.58333,48.48333
Gowd Murtia,32.66886,48.37036
Goriz-e Karidi,32.03333,48.15
Gorgiran,32.4271,48.9795
Godarshah,32.28333,49.03333
Ghasha va Shiryul,32.08333,48.16667
Kohneg,32.2566,48.6169
Galleh Balut,32.51667,49.11667
Galalak,32.26667,49.33333
Farrokh,32.13333,48.46667
Seyd Malgeh,32.77202,48.62791
Eskandarabad,32.01667,49.48333
Emamzadeh Edrisi,32.2,48.53333
Dovvom Deh,32.2,49
Dusti,32.11667,49.5
Doleh Yaraleh,32.03333,48.21667
Do Ab-e Bala,32.71667,48.3
Do Ab,32.91728,48.76692
Kushkak-e Do Pirun,32.12234,48.86004
Dageh Meshgi,32.16667,49.26667
Chogha Zanbil,32.01667,48.51667
Chogha Shir,32.26667,48.46667
Seyyed Musa,32.2559,48.1951
Chel Bozi,32.91667,48.31667
Chay Sahib,32.05,48.1
Chavani Ab Bahar,32.94126,48.23832
Chavani Abgun,32.91667,48.25
Chahar Taq,32.90116,48.02863
Changa'i,32.33333,49.05
Chandar,32.26667,49.08333
Chamboreh,32.48333,48.73333
Chalgomchin,32.21521,48.65734
Chalak-e Bala,32.78333,48.51667
Chalak,32.80137,48.53035
Chal Meydan,32.33333,49
Chal Baraftab,32.05,48.91667
Chichali Karam,32.38333,49.16667
Chichali-e Seh,32.3648,48.1724
Bonhan,32.1,48.48333
Boneh-ye Zavat,32.95,48.3
Boneh-ye Seyyed Hamid,32.11667,48.5
Beyt-e Meskin,32.2719,48.1007
Boneh-ye Mohammad,32.25011,48.11625
Boneh-ye Kazem,32.21225,48.87686
Boneh-ye Gowd,32.36667,49.01667
Samandi-ye `Olya,32.15341,48.60733
Bokheh Khomad,32.03333,48.48333
Hajj Barik Ab,32.85822,48.3306
Balarud-e Shomali,32.58804,48.28461
Azad Mard,32.67472,48.24136
Samadi,32.01667,48.23333
Rusta-ye Amir ol Mow'menin,32.3637,49.0165
Saleh Mashhadad,32.01667,48.31667
Alan `Abbasi,32.81667,49.46667
Safiabad,32.0084,49.3824
Saddam,32.05408,48.20679
Abu Hali,32.08333,48.56667
Abeleh,32.06667,49.21667
Ab-e Chahru,32.13333,49.5
Abidlak,32.86667,48.46667
Av Jadan,32.39,49.2422
Ab Garm,32.3243,49.0327
Ab Anjirak-e `Olya,32.03333,49.23333
`Ali Akbar,32.08427,48.25756
Hamudi,32.15,48.21667
Hajj Soltan,32.21667,48.86667
Hajj Maghdarb,32.26667,48.03333
Hajj Saleh Lusati,32.08333,48.25
Habibollah,32.1,48.73333
Boneh-ye `Alvan,32.11171,48.45877
`Ali Jador,32.12957,48.22898
`Ali Bideh,32.03333,49.38333
`Ali Akbar,32.11667,48.35
`Abdi Khan,32.05,49.4
`Abbasabad,32.41645,48.90007
`Abid,32.13247,48.2001
`Asab Hadeh,32.06667,48.25
Zavar Bid,35.3603,51.7533
Zamanabad,35.5388,51.0821
Ziba Shahr,35.7406,51.2981
Rusta-ye Fasli-ye Yurt Shah,35.6015,51.7887
Vasiyeh,35.8215,51.0249
Valiran,35.69793,52.06033
Uzneh,35.65,52.46667
Towchal Hotel,35.88763,51.40103
Tarqiyun-e Pa'in,35.7052,51.69579
Taqiabad,35.48333,51.1
Kabud Cheshmeh,35.8079,51.1314
Tanbalabad,35.4,51.2
Tajarak-e Bala,35.76667,51.93333
