name,latitude,longitude
Yekāhī,32.5,48.9
Kabūtarān,32.73333,48.4
Takht-e Qeyşar,32.05908,48.86752
Takht Arreh Yek,32.80101,48.67179
Tīleh,32.23333,48.4
Sheykh Sa‘d,32.4937,48.03908
Shahīd Madanī,32.02243,48.51433
Sheykh Şāleḩ Sā‘īd,32.032,48.4938
Sheykh Ḩoseyn,32.2,48.36667
Seyyed Moşţafā Khomeynī,32.04711,48.42437
Sheykh ‘Ajam,32.01667,48.21667
Sharū,32.9276,48.2452
Shāreh Kanī,32.21667,48.25
Sharaf od Dīn,32.61667,48.48333
Emāmzādeh Shahīdān-e Zayd,32.4631,48.68521
Shīrīnāb,32.1,49.23333
Seyyed Şobhān,32.2,48.2
Seyyed Nūr,32.13928,48.49952
Seyyed Moḩammad,32.2,48.36667
Sartal Āqā,32.13333,49.45
Sar Gach-e Ābezhdān,32.0763,49.4875
Sar Cheshmeh,32.18333,49.15
Tappeh Shangar-e ‘Olyā,32.15287,48.51745
Sandāl,32.16483,48.03004
Sakhī,32.15,48.21667
Sag Mordeh,32.73333,48.4
Sabz Meydān,32.06667,48.85
Rūkī,32.53333,49.08333
Razī,32.18333,48.25
Rāshedī,32.01667,48.13333
Rasan Dakhām,32.0683,48.0226
Raghīveh,32.17982,48.02364
Ramīleh,32.04058,48.21442
Raḩm Khodā,32.01667,49.21667
Boneh Raḩīmeh,32.01211,48.27884
Mollā Cherāgh‘alī,32.07519,48.87366
Boneh-ye Mehdī,32.0537,48.836
Qāsem Moţs̄ar,32.24073,48.14936
Qalīch,32.36667,48.13333
Qal‘eh-ye Sheykh,32.32575,48.36865
Par Khvājeh,32.15,49.23333
Pāpīleh,32.36667,48.6
Pīr Kāfarān,32.28333,48.15
Nūrābād,32.1,49.26667
Nofel lo Shatow,32.03333,48.8
Neypāreh,32.15,48.25
Nardīdū,32.78927,48.46401
Nīm Mardī,32.84814,48.46144
Morād Hādī,32.18333,48.31667
Mūdū,32.8,49.3
Moḩammadābād,32.33333,49.1
Moḩammad Şāfī,32.05,48.15
Moḩammad Ḩoseyn,32.78995,48.46566
Māzīgardash,32.0412,48.94636
Maz‘al Bandeh,48,9
Mashhadī Moḩammad,32.3,48.46667
Mālşafar-e Gharbī,32.18333,48.7
Esteqlāl,32.27603,48.13417
Makīneh,32.11667,48.71667
Maks̄īr,32.01667,48.58333
Meqdād,32.11345,48.24575
Majīr,32.1412,48.2202
Maḩārem Yazdī,32.01599,48.05379
Lorestānīhā,32.26667,48.85
Leylā,32.18333,49.23333
Lop Sefīd-e Soflá,32.5621,48.8105
Lop Sefīd,32.55942,48.81754
Gonjeh,32.37401,48.27242
Konāb-e Vasaţ,32.73333,48.31667
Konāb-e Pā'īn,32.73333,48.31667
Kūlak,32.73104,48.44953
Kūl Changīz-e Bālā,32.98333,48.96667
Khonog,32.2495,48.1756
Kheymehjā,32.1,49.5
Kheybarābād,32.33333,49.05
Kheẕr,32.1,48.08333
Khānjān,32.2,49.43333
Khānābād-e Qoţb,32.34934,48.25483
Khān‘alī Aḩmadī,32.01667,49.48333
Kārkalleh Menārī,32.4,49.28333
Kermalak-e ‘Olyā,32.31376,48.39819
Kalak Darreh,32.78333,48.28333
Jūḩī,32.00605,48.27915
Jalīlā,32.4,49.26667
Jakestūn,32.60589,48.52197
Jakestān,32.58333,48.48333
Gowd Mūrtīā,32.66886,48.37036
Gorīz-e Karīdī,32.03333,48.15
Gorgīrān,32.4271,48.9795
Godārshāh,32.28333,49.03333
Ghashā va Shīryūl,32.08333,48.16667
Kohneg,32.2566,48.6169
Galleh Balūţ,32.51667,49.11667
Galālak,32.26667,49.33333
Farrokh,32.13333,48.46667
Şeyd Mālgeh,32.77202,48.62791
Eskandarābād,32.01667,49.48333
Emāmzādeh Edrīsī,32.2,48.53333
Dovvom Deh,32.2,49
Dūstī,32.11667,49.5
Doleh Yārāleh,32.03333,48.21667
Do Āb-e Bālā,32.71667,48.3
Do Āb,32.91728,48.76692
Kūshkak-e Do Pīrūn,32.12234,48.86004
Dageh Meshgī,32.16667,49.26667
Choghā Zanbīl,32.01667,48.51667
Choghā Shīr,32.26667,48.46667
Seyyed Mūsá,32.2559,48.1951
Chel Bozī,32.91667,48.31667
Chāy Sahīb,32.05,48.1
Chāvanī Āb Bahār,32.94126,48.23832
Chāvanī Ābgūn,32.91667,48.25
Chahār Ţāq,32.90116,48.02863
Changā’ī,32.33333,49.05
Chandār,32.26667,49.08333
Chamboreh,32.48333,48.73333
Chalgomchīn,32.21521,48.65734
Chalak-e Bālā,32.78333,48.51667
Chalak,32.80137,48.53035
Chāl Meydān,32.33333,49
Chāl Barāftāb,32.05,48.91667
Chīchālī Karam,32.38333,49.16667
Chīchālī-e Seh,32.3648,48.1724
Bonhān,32.1,48.48333
Boneh-ye Zavat,32.95,48.3
Boneh-ye Seyyed Hamīd,32.11667,48.5
Beyt-e Meskīn,32.2719,48.1007
Boneh-ye Moḩammad,32.25011,48.11625
Boneh-ye Kāz̧em,32.21225,48.87686
Boneh-ye Gowd,32.36667,49.01667
Samandī-ye ‘Olyā,32.15341,48.60733
Bokheh Khomād,32.03333,48.48333
Ḩājj Bārīk Āb,32.85822,48.3306
Bālārūd-e Shomālī,32.58804,48.28461
Āzād Mard,32.67472,48.24136
Şamadī,32.01667,48.23333
Rūstā-ye Amīr ol Mow’menīn,32.3637,49.0165
Şāleḩ Mashhadad,32.01667,48.31667
Alān `Abbāsī,32.81667,49.46667
Şafīābād,32.0084,49.3824
Şaddām,32.05408,48.20679
Abū Ḩalī,32.08333,48.56667
Ābeleh,32.06667,49.21667
Āb-e Chahrū,32.13333,49.5
Ābīdlāk,32.86667,48.46667
Āv Jadān,32.39,49.2422
Āb Garm,32.3243,49.0327
Āb Anjīrak-e `Olyā,32.03333,49.23333
‘Alī Akbar,32.08427,48.25756
Ḩamūdī,32.15,48.21667
Ḩājj Solţān,32.21667,48.86667
Ḩājj Maghdarb,32.26667,48.03333
Ḩājj Şāleḩ Lūsatī,32.08333,48.25
Ḩabībollāh,32.1,48.73333
Boneh-ye ‘Alvān,32.11171,48.45877
‘Alī Jādor,32.12957,48.22898
‘Alī Bīdeh,32.03333,49.38333
‘Alī Akbar,32.11667,48.35
‘Abdī Khān,32.05,49.4
‘Abbāsābād,32.41645,48.90007
‘Abīd,32.13247,48.2001
‘Aşab Ḩadeh,32.06667,48.25
Zavār Bīd,35.3603,51.7533
Zamānābād,35.5388,51.0821
Zībā Shahr,35.7406,51.2981
Rūstā-ye Faşlī-ye Yūrt Shāh,35.6015,51.7887
Vasīyeh,35.8215,51.0249
Valīrān,35.69793,52.06033
Ūzneh,35.65,52.46667
Towchāl Hotel,35.88763,51.40103
Tarqīyūn-e Pā’īn,35.7052,51.69579
Taqīābād,35.48333,51.1
Kabūd Cheshmeh,35.8079,51.1314
Tanbalābād,35.4,51.2
Tajarak-e Bālā,35.76667,51.93333
Tajarak,35.86591,52.40766
Tīrak,35.78358,51.93529
Ţāherābād,35.2447,51.7538
Sūshābād,35.365,51.73528
Sowdāghlīān,35.18046,52.47936
Soltān Darreh-ye Bālā,35.65,52.05
Shamsābād,35.91728,52.2873
Shamsābād,35.28384,51.58151
Shalambeh,35.68578,52.05303
Shahrak-e Qods,35.75936,51.37601
Shāhzādeh Ḩoseyn,35.28333,52.41667
Serīn Tūro,35.95,51.36667
Sefīd Kamar,35.59933,52.05461
Sarlūmān,35.60159,52.18373
Mazra‘eh-ye Sarḩaddān-e Pa’īn,35.56124,52.32101
Sar Gol,35.38,51.668
Sanrad,35.31667,52.35
Senārdak,35.2959,51.7265
Sīāh Kolāhān,35.8882,51.0057
Sīāh Band,35.629,51.96567
Raẕīābād,35.3822,51.5298
Raḩmatābād-e Kavīr,35.42417,51.53639
Raḩīmābād,35.2785,51.4723
Qūheh,35.47667,51.66222
Qeshlāq-e Āfarīn,35.40722,51.81694
Qeshlāq-e ‘Alī Bak,35.3591,51.0835
Qavīnak,35.33333,51.8
Qarā’ī,35.67459,52.04456
Qal‘eh-ye Sālārīyeh,35.11667,51.58333
Qal‘eh-ye Sādāt,35.4098,51.7819
Qal‘eh-ye Şāleḩ Khān,35.40222,51.79861
Qal‘eh Āqābāsh,35.61889,52.15693
Qal‘eh-ye ‘Āref,35.40833,51.76278
Qāsemābād,35.3528,51.6184
Qāsemābād,35.45,51.4
Qāsemābād,35.48333,51.33333
Qāsemābād,35.2545,51.5552
Pangāh,35.83333,51.36667
Palang Vār-e Pā’īn,35.6186,51.823
Pāchenār,35.2988,51.7354
Nadarāb,35.61667,52.45
Mūsáābād,35.36968,51.61251
Mehdīābād,35.35694,51.54194
Mehdīābād,35.7,51.96667
